ImageNumber,ObjectNumber,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_Label_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
8,1,24.006917789540267,5.2181914372934504,3,-4.877699816961524,-1.8540675208460442
8,2,39.973433358626004,7.0553260227649517,4,-6.9874258389180568,-0.97647602793135491
8,3,51.589438360001118,6.7877675733709983,5,-6.700306190753814,-1.0861333160588202
8,4,35.042744065238416,6.3928888920162175,6,-6.0354254286638707,-2.1077638104640357
8,5,5.6737400596836274,5.6737400596836274,7,-5.3409627465887866,-1.9145347226962315
9,1,26.302993936008786,2.3326187834227863,3,-2.2331028797623276,-0.67406373376261541
9,2,43.254021041401288,3.3348257792939791,4,-3.1995339474713376,-0.94023693674635922
9,3,53.890105204328648,2.3219412028859341,5,-2.2829607026873902,-0.42367603147272348
9,4,37.443663007740838,2.430082007726873,6,-2.249461658770997,-0.91935891250213331
9,5,8.3886177354734777,2.738517572708095,7,-2.6922192974251402,-0.50143170083543964
10,1,26.302993936008786,0.0,3,0.0,0.0
10,2,43.254021041401288,0.0,4,0.0,0.0
10,3,53.890105204328648,0.0,5,0.0,0.0
10,4,37.443663007740838,0.0,6,0.0,0.0
10,5,8.3886177354734777,0.0,7,0.0,0.0
11,1,31.331075723588871,5.0542237261500196,3,-5.0538080461784602,-0.064820570497687413
11,2,45.959325850463856,2.7054297250269013,4,-2.691264932644259,-0.27648337993164773
11,3,55.243474822006888,1.358617675217618,5,-1.3453273825497831,-0.18956851314359824
11,4,40.885631139804303,3.7793087867386164,6,-2.928898241496654,-2.3884576605997268
11,5,10.865520830798648,3.1224369646569401,7,-1.5455618671743991,-2.7130888509211104
12,1,32.530950757638827,1.2102461868895786,3,-1.2097891814975696,0.033256115410637221
12,2,47.565457666307879,1.7125260950173182,4,-1.5249260149441568,-0.77932424257288346
12,3,55.505365819823545,0.38311049768287431,5,-0.27570440103189497,0.26600890339697969
