ID of track	time index	cell row	cell col	velocity (pixels moved between timepoints) (µm)	Angle of movement	Delta of Angle of movement	angle of movement relative to "center"	length of track (total number of timepoints track was found)	Consistency of motion	Cumulated distance travelled (µm)	Distance between start and endpoint (µm)
8	24	570.562500	724.187500	2.542565	-154.653820	20.151746	-38.558876	28	0.163304	94.762518	12.267679
8	25	567.000000	722.500000	6.276973	130.601291	-74.744889	35.867684	28	0.134301	94.762518	12.267679
8	26	560.666667	729.888889	0.693443	-13.847274	-144.448565	-178.931668	28	0.129457	94.762518	12.267679
8	27	561.710526	729.631579					28		94.762518	12.267679
9	0	581.909091	257.363636	0.432480	139.398701		-11.358715	16	1.000000	8.039311	1.617144
9	1	581.400000	257.800000	0.683281	102.724353	-36.674349	25.305144	16	0.951852	8.039311	1.617144
9	2	581.166667	258.833333	0.611592	-118.495635	138.780012	-113.438852	16	0.505478	8.039311	1.617144
9	3	580.714286	258.000000	0.562373	145.007976	-96.496389	-17.011622	16	0.625837	8.039311	1.617144
9	4	580.000000	258.500000	0.755905	95.440329	-49.567646	32.535722	16	0.648789	8.039311	1.617144
9	5	579.888889	259.666667	0.755905	-84.559666	-179.999995	-147.414049	16	0.376952	8.039311	1.617144
9	6	580.000000	258.500000	0.721132	63.434947	147.994613	64.541104	16	0.364982	8.039311	1.617144
9	7	580.500000	259.500000	0.847013	-112.380132	-175.815079	-119.563421	16	0.254665	8.039311	1.617144
9	8	580.000000	258.285714	0.659642	12.094757	124.474889	115.870803	16	0.155679	8.039311	1.617144
9	9	581.000000	258.500000	0.456084	134.999996	122.905240	-6.961261	16	0.214766	8.039311	1.617144
9	10	580.500000	259.000000	0.240377	-153.434945	71.565059	-78.533142	16	0.218602	8.039311	1.617144
9	11	580.166667	258.833333	0.760140	98.130100	-108.434956	29.872738	16	0.280457	8.039311	1.617144
9	12	580.000000	260.000000	0.000000	0.000000	-98.130100	128.049632	16	0.280457	8.039311	1.617144
9	13	580.000000	260.000000	0.241764	-75.963754	-75.963754	-155.986613	16	0.242929	8.039311	1.617144
9	14	580.090909	259.636364	0.311622	-82.030387	-6.066633	-149.932135	16	0.201155	8.039311	1.617144
9	15	580.157895	259.157895					16		8.039311	1.617144
10	0	612.500000	780.000000	2.054157	92.454029		82.023100	46	1.000000	94.795923	34.499964
10	1	612.363636	783.181818	0.387020	135.818452	43.364423	39.037310	46	0.962892	94.795923	34.499964
10	2	611.933333	783.600000	0.945267	107.198538	-28.619913	67.702637	46	0.971186	94.795923	34.499964
10	3	611.500000	785.000000	0.289453	158.198586	51.000048	16.865720	46	0.940044	94.795923	34.499964
10	4	611.083333	785.166667	0.637506	99.008501	-59.190085	76.071483	46	0.948145	94.795923	34.499964
10	5	610.928571	786.142857	0.345006	-87.004694	173.986805	-97.799746	46	0.805445	94.795923	34.499964
10	6	610.956522	785.608696	1.533643	140.378871	-132.616435	34.752853	46	0.821235	94.795923	34.499964
10	7	609.125000	787.125000	1.711792	-112.135489	107.485640	-72.568846	46	0.522012	94.795923	34.499964
10	8	608.125000	784.666667	1.112151	-25.016893	87.118596	-159.994217	46	0.346166	94.795923	34.499964
10	9	609.687500	783.937500	0.921033	23.198590	48.215483	151.719075	46	0.307889	94.795923	34.499964
10	10	611.000000	784.500000	1.598102	-160.346171	176.455239	-24.654691	46	0.296613	94.795923	34.499964
10	11	608.666667	783.666667	1.014153	57.994615	-141.659213	116.879467	46	0.299696	94.795923	34.499964
