Trajectory	Frame	x	y	z	m0	m1	m2	m3	m4	NPscore
5	22	42.109	68.037	0	14.626	1.805	4.001	9.886	26.471	0.25
5	23	42.015	71.977	0	14.131	1.76	3.817	9.23	24.186	0.268
5	24	42.066	76.076	0	15.323	1.775	3.873	9.412	24.753	0.2
5	25	44.932	79.962	0	14.981	1.781	3.9	9.516	25.135	0.202
5	26	49.915	82.908	0	16.501	2.229	6.528	22.47	86.189	0.2
6	39	108.864	19.074	0	14.914	1.753	3.772	9.017	23.299	0.25
6	40	108.886	24.02	0	13.964	1.751	3.779	9.087	23.651	0.25
6	41	108.929	27.968	0	16.261	1.814	4.035	9.997	26.815	0.25
6	42	108.957	32.01	0	14.981	1.775	3.886	9.498	25.174	0.333
6	43	108.951	35.986	0	15.7	1.817	4.07	10.19	27.709	0.333
6	45	108.946	39.964	0	14.803	1.834	4.163	10.622	29.587	0.333
6	46	109.052	44.053	0	15.35	1.769	3.842	9.285	24.258	0.333
6	47	108.948	48.094	0	14.954	1.777	3.875	9.388	24.566	0.333
6	48	109.013	51.913	0	15.198	1.796	3.979	9.855	26.507	0.333
6	49	108.961	56.033	0	14.739	1.825	4.096	10.266	27.915	0.333
