ID of track	time index	cell row	cell col	velocity (pixels moved between timepoints) (µm)	Angle of movement	Delta of Angle of movement	angle of movement relative to "center"	length of track (total number of timepoints track was found)	Consistency of motion	Cumulated distance travelled (µm)	Distance between start and endpoint (µm)
4	45	229.355140	59.037383	0.728185	-120.772588	-45.348537	-44.792495	41	0.255402	84.617875	21.611599
4	46	228.198113	57.094340					41		84.617875	21.611599
5	7	582.500000	1371.750000	0.458921	-37.874983		-75.133036	17	1.000000	7.573694	0.241182
5	8	583.625000	1370.875000	0.654016	82.534807	120.409789	164.404202	17	0.519665	7.573694	0.241182
5	9	583.888889	1372.888889	0.877017	-118.706737	158.758457	5.666717	17	0.202687	7.573694	0.241182
5	10	582.580645	1370.500000	0.707259	76.566748	-164.726516	170.403580	17	0.127175	7.573694	0.241182
5	11	583.090909	1372.636364	0.493270	-58.832826	-135.399574	-54.182779	17	0.146074	7.573694	0.241182
5	12	583.883721	1371.325581	0.424294	-109.352924	-50.520098	-3.710433	17	0.170836	7.573694	0.241182
5	13	583.447059	1370.082353	0.105679	80.717054	-169.930022	166.216308	17	0.144970	7.573694	0.241182
5	14	583.500000	1370.406250	0.247031	166.555935	85.838881	80.380435	17	0.096800	7.573694	0.241182
5	15	582.753846	1370.584615	0.309981	-34.022838	159.421226	-79.011693	17	0.150741	7.573694	0.241182
5	16	583.551724	1370.045977	0.112427	74.627336	108.650175	172.301772	17	0.115146	7.573694	0.241182
5	18	583.736842	1370.719298	0.398266	179.775801	105.148465	67.156905	17	0.067406	7.573694	0.241182
5	19	582.500000	1370.724138	0.258604	-21.593763	158.630436	-91.429681	17	0.094732	7.573694	0.241182
5	20	583.246753	1370.428571	1.067374	112.093198	133.686960	134.852473	17	0.094121	7.573694	0.241182
5	21	582.000000	1373.500000	0.781112	-96.311208	151.595595	-16.652862	17	0.046517	7.573694	0.241182
5	22	581.733333	1371.088889	0.566018	43.896778	140.207986	-156.887590	17	0.031845	7.573694	0.241182
5	23	583.000000	1372.307692					17		7.573694	0.241182
6	12	2.333333	1129.333333	0.301299	-85.914381		-4.203996	14	1.000000	8.233209	0.953561
6	13	2.400000	1128.400000	0.993170	6.406981	92.321362	-96.528841	14	0.792697	8.233209	0.953561
6	14	5.465116	1128.744186	0.448602	164.136709	157.729728	105.585883	14	0.333207	8.233209	0.953561
6	15	4.125000	1129.125000	0.520221	119.341651	-44.795057	150.449035	14	0.222234	8.233209	0.953561
6	16	3.333333	1130.533333	0.149498	-68.962487	171.695862	-21.206444	14	0.172715	8.233209	0.953561
6	18	3.666667	1129.666667	0.197164	84.656942	153.619429	-174.842909	14	0.196035	8.233209	0.953561
6	19	3.723684	1130.276316	0.714036	-41.235778	-125.892720	-48.952979	14	0.393987	8.233209	0.953561
6	21	7.058824	1127.352941	1.415183	144.071289	-174.692933	125.569966	14	0.075359	8.233209	0.953561
6	22	3.500000	1129.931818	0.892433	6.516902	-137.554387	-96.694375	14	0.199552	8.233209	0.953561
6	23	6.253623	1130.246377	0.918869	-71.611059	-78.127961	-18.705952	14	0.223403	8.233209	0.953561
