cmso_object_id,cmso_frame_id,cmso_x_coord,cmso_y_coord
114,31.0,-0.314285714,0.342857143
115,31.0,1.162790698,-0.051495017000000004
116,32.0,0.314285714,-0.342857143
117,32.0,-1.162790698,0.051495017000000004
118,33.0,0.0,0.0
119,33.0,0.0,0.0
120,34.0,0.0,0.0
121,34.0,0.0,0.0
122,35.0,0.0,0.0
123,35.0,0.0,0.0
124,36.0,0.0,0.0
125,36.0,0.0,0.0
126,37.0,0.0,0.0
127,37.0,0.0,0.0
128,38.0,0.0,-2.714285714
129,39.0,0.0,-2.5
130,39.0,0.0,2.714285714
131,40.0,0.0,0.0
132,40.0,0.0,0.0
133,41.0,0.0,0.0
134,41.0,0.0,0.0
135,42.0,0.0,0.0
136,42.0,0.0,0.0
137,43.0,-0.314285714,0.342857143
138,43.0,1.162790698,-0.051495017000000004
139,44.0,0.0,0.0
140,44.0,0.0,0.0
141,45.0,0.314285714,-0.436607143
142,45.0,-1.162790698,-0.056407719
143,46.0,0.0,0.09375
144,46.0,0.0,0.107902736
145,47.0,0.0,0.0
146,47.0,0.0,0.0
147,48.0,-0.314285714,0.342857143
148,48.0,1.162790698,-0.051495017000000004
149,49.0,0.314285714,-0.342857143
150,49.0,-1.162790698,0.051495017000000004
151,50.0,0.0,0.0
152,50.0,0.0,0.0
153,6.0,0.0,0.0
154,7.0,0.0,0.0
155,8.0,-1.0,-1.0
156,9.0,1.0,0.0
157,10.0,0.0,1.0
158,12.0,0.0,0.0
159,13.0,0.0,0.0
160,14.0,1.0,0.0
161,15.0,0.0,0.0
162,16.0,0.0,-1.0
163,17.0,-1.0,1.0
164,18.0,1.0,-1.0
165,19.0,0.0,0.0
166,20.0,-1.0,0.0
167,21.0,1.0,0.0
168,22.0,-1.0,1.0
169,23.0,0.0,-1.0
170,24.0,0.0,0.0
171,17.0,0.0,0.0
172,18.0,-1.0,5.0
173,19.0,0.0,2.0
174,20.0,1.0,2.0
175,21.0,-1.0,3.0
176,22.0,0.0,4.0
177,23.0,0.0,4.0
178,24.0,0.0,5.0
179,25.0,1.0,4.0
180,26.0,2.0,3.0
181,27.0,5.065217391,3.0652173910000005
182,20.0,0.0,0.0
183,21.0,-5.0,-2.0
184,22.0,-3.0,-5.0
185,23.0,1.0,-3.0
186,24.0,-1.0,-4.0
187,25.0,1.0,-5.0
188,26.0,-1.0,-5.0
189,27.0,1.0,-6.0
190,28.0,4.0,-3.0
191,29.0,5.0,-2.0
192,30.0,4.0,-2.0
193,26.0,0.0,0.0
194,27.0,0.0,0.0
195,28.0,-1.0,1.0
196,29.0,1.0,0.0
197,30.0,-1.0,0.0
198,31.0,1.0,-1.0
199,32.0,-1.0,1.0
200,33.0,0.0,0.0
201,34.0,1.0,-1.0
202,35.0,0.0,0.0
203,36.0,-1.0,1.0
